Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/23/2026 11:00,CENTRL,61754,28.62,-0.29,0.00
09/23/2026 11:00,DUNWOD,61760,31.33,2.40,-0.02
09/23/2026 11:00,GENESE,61753,27.82,-1.10,0.00
09/23/2026 11:00,H Q,61844,28.77,-0.14,0.00
09/23/2026 11:00,HUD VL,61758,30.74,1.82,0.00
09/23/2026 11:00,LONGIL,61762,31.79,2.86,-0.01
09/23/2026 11:00,MHK VL,61756,29.64,0.72,0.00
09/23/2026 11:00,MILLWD,61759,31.02,2.11,0.00
09/23/2026 11:00,N.Y.C.,61761,31.60,2.66,-0.02
09/23/2026 11:00,NORTH,61755,28.86,-0.06,0.00
09/23/2026 11:00,NPX,61845,30.10,1.19,0.00
09/23/2026 11:00,O H,61846,26.81,-2.11,0.00
09/23/2026 11:00,PJM,61847,29.04,0.12,-0.01
09/23/2026 11:00,WEST,61752,26.75,-2.17,0.00
09/23/2026 12:00,CAPITL,61757,29.57,0.38,0.00
09/23/2026 12:00,CENTRL,61754,28.93,-0.26,0.00
09/23/2026 12:00,DUNWOD,61760,31.66,2.45,-0.02
09/23/2026 12:00,GENESE,61753,28.17,-1.02,0.00
09/23/2026 12:00,H Q,61844,29.07,-0.12,0.00
09/23/2026 12:00,HUD VL,61758,31.06,1.87,0.00
09/23/2026 12:00,LONGIL,61762,31.95,2.74,-0.01
09/23/2026 12:00,MHK VL,61756,29.89,0.70,0.00
09/23/2026 12:00,MILLWD,61759,31.35,2.16,0.00
09/23/2026 12:00,N.Y.C.,61761,31.96,2.74,-0.03
09/23/2026 12:00,NORTH,61755,29.13,-0.06,0.00
09/23/2026 12:00,NPX,61845,30.30,1.11,0.00
09/23/2026 12:00,O H,61846,27.18,-2.01,0.00
09/23/2026 12:00,PJM,61847,29.40,0.21,-0.01
09/23/2026 12:00,WEST,61752,27.15,-2.04,0.00
09/23/2026 13:00,CAPITL,61757,29.44,0.41,0.00
09/23/2026 13:00,CENTRL,61754,28.72,-0.32,0.00
09/23/2026 13:00,DUNWOD,61760,31.52,2.47,-0.02
09/23/2026 13:00,GENESE,61753,27.96,-1.07,0.00
09/23/2026 13:00,H Q,61844,28.89,-0.14,0.00
09/23/2026 13:00,HUD VL,61758,30.92,1.89,0.00
09/23/2026 13:00,LONGIL,61762,31.90,2.85,-0.01
09/23/2026 13:00,MHK VL,61756,29.82,0.78,0.00
09/23/2026 13:00,MILLWD,61759,31.24,2.21,0.00
09/23/2026 13:00,N.Y.C.,61761,31.82,2.76,-0.03
09/23/2026 13:00,NORTH,61755,28.95,-0.09,0.00
09/23/2026 13:00,NPX,61845,30.20,1.16,0.00
09/23/2026 13:00,O H,61846,26.98,-2.06,0.00
09/23/2026 13:00,PJM,61847,29.25,0.20,-0.01
09/23/2026 13:00,WEST,61752,26.95,-2.09,0.00
09/23/2026 14:00,CAPITL,61757,30.20,0.47,0.00
09/23/2026 14:00,CENTRL,61754,29.43,-0.30,0.00
09/23/2026 14:00,DUNWOD,61760,32.24,2.50,-0.02
09/23/2026 14:00,GENESE,61753,28.59,-1.13,0.00
09/23/2026 14:00,H Q,61844,29.58,-0.15,0.00
09/23/2026 14:00,HUD VL,61758,31.63,1.90,0.00
09/23/2026 14:00,LONGIL,61762,32.50,2.76,-0.01
09/23/2026 14:00,MHK VL,61756,30.44,0.71,0.00
09/23/2026 14:00,MILLWD,61759,31.92,2.20,0.00
09/23/2026 14:00,N.Y.C.,61761,32.58,2.83,-0.03
09/23/2026 14:00,NORTH,61755,29.61,-0.12,0.00
09/23/2026 14:00,NPX,61845,30.94,1.22,0.00
09/23/2026 14:00,O H,61846,27.61,-2.11,0.01
09/23/2026 14:00,PJM,61847,29.94,0.21,0.00
09/23/2026 14:00,WEST,61752,27.60,-2.11,0.01
09/23/2026 15:00,CAPITL,61757,31.21,0.67,0.00
09/23/2026 15:00,CENTRL,61754,30.12,-0.46,-0.05
09/23/2026 15:00,DUNWOD,61760,33.27,2.72,-0.02
09/23/2026 15:00,GENESE,61753,28.80,-1.74,0.00
09/23/2026 15:00,H Q,61844,30.38,-0.15,0.00
09/23/2026 15:00,HUD VL,61758,32.64,2.11,0.00
09/23/2026 15:00,LONGIL,61762,36.70,3.39,-2.78
09/23/2026 15:00,MHK VL,61756,31.27,0.73,0.00
09/23/2026 15:00,MILLWD,61759,32.98,2.44,0.00
09/23/2026 15:00,N.Y.C.,61761,33.61,3.05,-0.03
09/23/2026 15:00,NORTH,61755,30.44,-0.09,0.00
09/23/2026 15:00,NPX,61845,32.00,1.47,0.00
09/23/2026 15:00,O H,61846,27.46,-2.96,0.11
09/23/2026 15:00,PJM,61847,30.60,0.09,0.03
09/23/2026 15:00,WEST,61752,28.13,-2.29,0.12
09/23/2026 16:00,CAPITL,61757,33.34,0.84,0.00
09/23/2026 16:00,CENTRL,61754,34.08,-0.46,-2.03
09/23/2026 16:00,DUNWOD,61760,38.29,2.89,-2.90
09/23/2026 16:00,GENESE,61753,30.68,-1.82,0.00
09/23/2026 16:00,H Q,61844,34.31,-0.16,-1.97
09/23/2026 16:00,HUD VL,61758,34.81,2.31,0.00
09/23/2026 16:00,LONGIL,61762,38.12,3.38,-2.24
09/23/2026 16:00,MHK VL,61756,33.25,0.75,0.00
09/23/2026 16:00,MILLWD,61759,35.10,2.60,0.00
09/23/2026 16:00,N.Y.C.,61761,39.58,3.19,-3.89
09/23/2026 16:00,NORTH,61755,32.37,-0.13,0.00
09/23/2026 16:00,NPX,61845,36.06,1.59,-1.97
09/23/2026 16:00,O H,61846,26.89,-3.15,2.45
09/23/2026 16:00,PJM,61847,33.90,0.07,-1.34
09/23/2026 16:00,WEST,61752,24.40,-2.37,5.73
09/23/2026 17:00,CAPITL,61757,42.20,1.39,0.00
09/23/2026 17:00,CENTRL,61754,40.04,-0.53,0.24
09/23/2026 17:00,DUNWOD,61760,44.20,3.39,0.00
09/23/2026 17:00,GENESE,61753,37.20,-2.49,1.12
09/23/2026 17:00,H Q,61844,41.30,-0.20,-0.69
09/23/2026 17:00,HUD VL,61758,43.59,2.78,0.00
09/23/2026 17:00,LONGIL,61762,44.94,4.12,-0.01
09/23/2026 17:00,MHK VL,61756,41.99,1.18,0.00
09/23/2026 17:00,MILLWD,61759,43.91,3.10,0.00
09/23/2026 17:00,N.Y.C.,61761,44.40,3.59,0.00
09/23/2026 17:00,NORTH,61755,40.73,-0.08,0.00
